Dates,Time,Volume,%_change_Open,%_change_High,%_change_Low,%_change_Close,%_change_Volume
2022-10-03,00:00:00,114311700,,,,,
2022-10-04,00:00:00,87830100,4.934513952776909,2.201715059219933,4.771582503403282,2.5623107459092465,-23.166132600599944
2022-10-05,00:00:00,79471000,-0.6619261278068556,0.7933276244188159,-0.8664910908067203,0.20532583432515406,-9.517352251676813
2022-10-06,00:00:00,68402200,1.2077393946814174,0.10855502647562076,1.5453512333094555,-0.6625616740685958,-13.928099558329453
2022-10-07,00:00:00,85925600,-2.242647505118356,-3.0093448452355953,-3.973284825753287,-3.6718732593486014,25.618181871343324
2022-10-10,00:00:00,74899000,-1.4872984544989087,-0.8455671993416236,-0.6310431289217266,0.23556217489644204,-12.832729710354073
2022-10-11,00:00:00,77033700,-0.3703206660316982,-0.3805717728209479,-0.25258431479815435,-1.0254890324973842,2.8501048078078517
2022-10-12,00:00:00,70433700,-0.5503853089812161,-0.7003929610296944,-0.04340729132099597,-0.4605025629847881,-8.567678821087398
2022-10-13,00:00:00,113224000,-2.9756337557347967,2.301222366410305,-2.743202406241174,3.3612982095813537,60.75259428370225
2022-10-14,00:00:00,88598000,6.904208968197767,0.6476829572318099,2.842902033960204,-3.2240055394307077,-21.749805694905678
2022-10-17,00:00:00,85250900,-2.2451599259846633,-1.1209592638278587,1.5051753341828178,2.9122739235991624,-3.777850515812997
2022-10-18,00:00:00,99136600,3.1331948248835895,2.659204488497391,0.2423870589111976,0.9409364674700216,16.288039187856086
2022-10-19,00:00:00,61758300,-2.6118653572642536,-1.1929107269289307,0.6329559674171037,0.07652151501753579,-37.70383491061828
2022-10-20,00:00:00,64522000,0.9386702012406989,0.6485011805428931,0.812716534617941,-0.3267074958073879,4.47502602889005
2022-10-21,00:00:00,86548600,-0.10488683456313375,1.3434825704758069,0.0,2.7059116717709664,34.138123430767806
2022-10-24,00:00:00,75981900,3.0237330943248875,1.609732516586515,2.3484095666674865,1.4802652233100844,-12.208978539225356
2022-10-25,00:00:00,74732300,1.9702383642794086,1.5043665245946025,2.30137028106272,1.9337636403837344,-1.6446022013137385
2022-10-26,00:00:00,88194300,0.5796591359879422,-0.32789034165416897,-0.8837756553458864,-1.9627137757569302,18.013629983287018
2022-10-27,00:00:00,109180200,-1.9144139249584136,-1.9343393217644667,-2.6411703462881575,-3.0465353035615927,23.795075191934178
2022-10-28,00:00:00,164762400,0.0877893007317887,5.669236347018325,2.5601903256760927,7.555254189485061,50.908681244401464
